toaccount,syscode,timestamp,amount
1000095,22,1.00 ,17
1000095,64,1.00 ,35
1000095,64,1.00 ,200
1000016,28,1.00 ,540
1000016,28,1.00 ,540
1000005,28,1.00 ,700
1000005,28,1.00 ,700
1000143,81,1.00 ,600
1000016,28,1.00 ,300
1000016,28,1.00 ,300
1000095,64,1.00 ,12
1000016,28,1.00 ,2740
1000095,64,1.00 ,16
1000095,64,1.00 ,84
1000005,28,1.00 ,950
1000005,28,1.00 ,950
1000095,22,1.00 ,65
1000005,28,1.00 ,1300
1000005,28,1.00 ,750
1000005,28,1.00 ,750
1000016,28,1.00 ,1280
1000005,28,1.00 ,800
1000016,28,1.00 ,650
1000016,28,1.00 ,740
1000095,22,1.00 ,16
1000095,64,1.00 ,40
1000016,28,1.00 ,920
1000095,22,1.00 ,49
1000005,28,1.00 ,950
1000005,28,1.00 ,950
1000095,22,1.00 ,200
1000095,64,1.00 ,40
1000016,28,1.00 ,300
1000016,28,1.00 ,880
1000095,64,1.00 ,193
1000005,28,1.00 ,900
1000005,28,1.00 ,950
1000095,22,1.00 ,174
1000095,22,1.00 ,3
1000016,28,1.00 ,350
1000095,22,1.00 ,40
1000005,28,1.00 ,1250
1000095,64,1.00 ,73
1000095,22,1.00 ,97
1000095,22,1.00 ,97
1000095,22,1.00 ,200
1000095,22,1.00 ,91
1000016,28,1.00 ,380
1000095,22,1.00 ,172
1000095,64,1.00 ,70
1000016,28,1.00 ,200
1000016,28,1.00 ,500
1000016,28,1.00 ,1240
1000016,28,1.00 ,400
1000016,28,1.00 ,1480
1000016,28,1.00 ,1810
1000095,64,1.00 ,104
1000016,28,1.00 ,830
1000016,28,1.00 ,400
1000016,28,1.00 ,1290
1000095,64,1.00 ,105
1000016,28,1.00 ,300
1000095,64,1.00 ,19
1000016,28,1.00 ,970
1000016,28,1.00 ,200
1000143,81,1.00 ,656
1000016,28,1.00 ,380
1000095,64,1.00 ,57
1000016,28,1.00 ,3310
1000095,22,1.00 ,14
1000027,34,1.00 ,240
1000029,34,1.00 ,300
1000031,34,1.00 ,200
1000038,34,1.00 ,70
1000030,34,1.00 ,620
1000027,34,1.00 ,250
1000031,34,1.00 ,400
1000027,34,1.00 ,360
1000029,34,1.00 ,200
1000030,34,1.00 ,150
1000029,34,1.00 ,70
1000001,30,1.00 ,250
1000011,30,1.00 ,300
1000011,30,1.00 ,150
1000001,30,1.00 ,250
1000011,30,1.00 ,300
1000010,30,1.00 ,150
1000001,30,1.00 ,120
1000001,30,1.00 ,100
1000001,30,1.00 ,60
1000003,30,1.00 ,100
1000011,30,1.00 ,150
1000001,30,1.00 ,250
1000001,30,1.00 ,200
1000031,34,1.00 ,200
1000027,34,1.00 ,150
1000030,34,1.00 ,180
1000029,34,1.00 ,600
1000030,34,1.00 ,1000
1000029,34,1.00 ,750
1000029,34,1.00 ,700
1000027,34,1.00 ,140
1000027,34,1.00 ,240
1000030,34,1.00 ,500
1000031,34,1.00 ,320
1000027,34,1.00 ,150
1000030,34,1.00 ,200
1000027,34,1.00 ,500
1000027,34,1.00 ,400
1000029,34,1.00 ,250
1000027,34,1.00 ,600
1000031,34,1.00 ,540
1000010,30,1.00 ,400
1000011,30,1.00 ,300
1000011,30,1.00 ,500
1000001,30,1.00 ,100
1000010,30,1.00 ,350
1000001,30,1.00 ,100
1000010,30,1.00 ,600
1000001,30,1.00 ,100
1000011,30,1.00 ,250
1000027,34,1.00 ,510
1000038,34,1.00 ,300
1000038,34,1.00 ,210
1000030,34,1.00 ,470
1000030,34,1.00 ,600
1000027,34,1.00 ,40
1000030,34,1.00 ,500
1000030,34,1.00 ,150
1000031,34,1.00 ,520
1000027,34,1.00 ,240
1000038,34,1.00 ,270
1000031,34,1.00 ,280
1000029,34,1.00 ,750
1000027,34,1.00 ,450
1000029,34,1.00 ,250
1000030,34,1.00 ,320
1000031,34,1.00 ,500
1000027,34,1.00 ,290
1000027,34,1.00 ,550
1000027,34,1.00 ,300
1000001,30,1.00 ,450
1000003,30,1.00 ,100
1000001,30,1.00 ,120
1000011,30,1.00 ,100
1000038,34,1.00 ,500
1000030,34,1.00 ,200
1000038,34,1.00 ,270
1000029,34,1.00 ,150
1000003,30,1.00 ,650
1000007,30,1.00 ,350
1000001,30,1.00 ,440
1000001,30,1.00 ,290
1000001,30,1.00 ,370
1000001,30,1.00 ,230
1000011,30,1.00 ,250
1000010,30,1.00 ,400
1000007,30,1.00 ,150
1000001,30,1.00 ,100
1000027,34,1.00 ,290
1000031,34,1.00 ,850
1000027,34,1.00 ,310
1000027,34,1.00 ,70
1000027,34,1.00 ,150
1000038,34,1.00 ,270
1000038,34,1.00 ,170
1000031,34,1.00 ,350
1000030,34,1.00 ,70
1000030,34,1.00 ,150
1000003,30,1.00 ,650
1000001,30,1.00 ,200
1000003,30,1.00 ,650
1000010,30,1.00 ,250
1000001,30,1.00 ,120
1000011,30,1.00 ,900
1000001,30,1.00 ,200
1000010,30,1.00 ,100
1000011,30,1.00 ,700
1000011,30,1.00 ,250
1000007,30,1.00 ,600
1000001,30,1.00 ,270
1000001,30,1.00 ,270
1000003,30,1.00 ,400
1000003,30,1.00 ,800
1000003,30,1.00 ,650
1000007,30,1.00 ,250
1000003,30,1.00 ,700
1000010,30,1.00 ,150
1000001,30,1.00 ,400
1000030,34,1.00 ,180
1000027,34,1.00 ,200
1000031,34,1.00 ,500
1000038,34,1.00 ,270
1000027,34,1.00 ,320
1000031,34,1.00 ,500
1000030,34,1.00 ,100
1000029,34,1.00 ,450
1000027,34,1.00 ,240
1000027,34,1.00 ,320
1000011,30,1.00 ,400
1000007,30,1.00 ,350
1000010,30,1.00 ,400
1000001,30,1.00 ,200
1000001,30,1.00 ,120
1000001,30,1.00 ,290
1000007,30,1.00 ,250
1000011,30,1.00 ,250
1000003,30,1.00 ,650
1000011,30,1.00 ,150
1000001,30,1.00 ,60
1000001,30,1.00 ,420
1000007,30,1.00 ,350
1000011,30,1.00 ,300
1000011,30,1.00 ,100
1000031,34,1.00 ,340
1000029,34,1.00 ,550
1000027,34,1.00 ,410
1000030,34,1.00 ,460
1000030,34,1.00 ,180
1000029,34,1.00 ,1150
1000027,34,1.00 ,320
1000003,30,1.00 ,700
1000001,30,1.00 ,120
1000007,30,1.00 ,400
1000011,30,1.00 ,400
1000003,30,1.00 ,1100
1000001,30,1.00 ,100
1000001,30,1.00 ,150
1000001,30,1.00 ,520
1000001,30,1.00 ,100
1000010,30,1.00 ,150
1000003,30,1.00 ,650
1000001,30,1.00 ,100
1000011,30,1.00 ,250
1000003,30,1.00 ,800
1000011,30,1.00 ,400
1000010,30,1.00 ,250
1000001,30,1.00 ,100
1000011,30,1.00 ,400
1000001,30,1.00 ,460
1000001,30,1.00 ,30
1000031,34,1.00 ,180
1000029,34,1.00 ,220
1000003,30,1.00 ,200
1000007,30,1.00 ,980
1000001,30,1.00 ,70
1000011,30,1.00 ,400
1000003,30,1.00 ,500
1000001,30,1.00 ,320
1000007,30,1.00 ,700
1000001,30,1.00 ,260
1000010,30,1.00 ,350
1000007,30,1.00 ,500
1000011,30,1.00 ,300
1000011,30,1.00 ,250
1000003,30,1.00 ,650
1000010,30,1.00 ,650
1000001,30,1.00 ,30
1000011,30,1.00 ,400
1000003,30,1.00 ,500
1000001,30,1.00 ,450
1000001,30,1.00 ,100
1000007,30,1.00 ,350
1000003,30,1.00 ,750
1000011,30,1.00 ,150
1000003,30,1.00 ,500
1000001,30,1.00 ,30
1000011,30,1.00 ,450
1000011,30,1.00 ,150
1000003,30,1.00 ,500
1000003,30,1.00 ,550
1000011,30,1.00 ,250
1000010,30,1.00 ,400
1000001,30,1.00 ,270
1000003,30,1.00 ,150
1000007,30,1.00 ,400
1000001,30,1.00 ,400
1000011,30,1.00 ,150
1000011,30,1.00 ,250
1000001,30,1.00 ,100
1000001,30,1.00 ,150
1000011,30,1.00 ,600
1000007,30,1.00 ,150
1000011,30,1.00 ,150
1000011,30,1.00 ,350
1000030,34,1.00 ,440
1000029,34,1.00 ,250
1000031,34,1.00 ,550
1000031,34,1.00 ,650
1000031,34,1.00 ,600
1000030,34,1.00 ,700
1000030,34,1.00 ,350
1000029,34,1.00 ,700
1000001,30,1.00 ,200
1000001,30,1.00 ,100
1000011,30,1.00 ,400
1000011,30,1.00 ,600
1000007,30,1.00 ,280
1000007,30,1.00 ,250
1000011,30,1.00 ,250
1000001,30,1.00 ,200
1000001,30,1.00 ,60
1000029,34,1.00 ,300
1000030,34,1.00 ,680
1000030,34,1.00 ,870
1000030,34,1.00 ,400
1000029,34,1.00 ,600
1000010,30,1.00 ,500
1000001,30,1.00 ,400
1000010,30,1.00 ,250
1000010,30,1.00 ,400
1000010,30,1.00 ,150
1000011,30,1.00 ,600
1000011,30,1.00 ,250
1000010,30,1.00 ,400
1000010,30,1.00 ,700
1000011,30,1.00 ,150
1000003,30,1.00 ,100
1000001,30,1.00 ,100
1000001,30,1.00 ,350
1000029,34,1.00 ,150
1000029,34,1.00 ,200
1000030,34,1.00 ,500
1000031,34,1.00 ,240
1000031,34,1.00 ,600
1000027,34,1.00 ,540
1000029,34,1.00 ,250
1000027,34,1.00 ,340
1000029,34,1.00 ,350
1000030,34,1.00 ,380
1000030,34,1.00 ,700
1000027,34,1.00 ,290
1000031,34,1.00 ,1000
1000029,34,1.00 ,150
1000027,34,1.00 ,240
1000027,34,1.00 ,600
1000031,34,1.00 ,300
1000030,34,1.00 ,630
1000027,34,1.00 ,450
1000029,34,1.00 ,250
1000038,34,1.00 ,270
1000027,34,1.00 ,290
1000029,34,1.00 ,450
1000038,34,1.00 ,270
1000027,34,1.00 ,400
1000027,34,1.00 ,500
1000038,34,1.00 ,170
1000007,30,1.00 ,500
1000011,30,1.00 ,400
1000007,30,1.00 ,400
1000011,30,1.00 ,450
1000027,34,1.00 ,220
1000030,34,1.00 ,430
1000029,34,1.00 ,350
1000029,34,1.00 ,570
1000027,34,1.00 ,400
1000027,34,1.00 ,150
1000030,34,1.00 ,200
1000031,34,1.00 ,120
1000027,34,1.00 ,450
1000030,34,1.00 ,650
1000031,34,1.00 ,300
1000038,34,1.00 ,170
1000027,34,1.00 ,250
1000027,34,1.00 ,270
1000029,34,1.00 ,670
1000027,34,1.00 ,270
1000031,34,1.00 ,100
1000029,34,1.00 ,600
1000010,30,1.00 ,150
1000003,30,1.00 ,100
1000001,30,1.00 ,200
1000010,30,1.00 ,150
1000011,30,1.00 ,450
1000038,34,1.00 ,170
1000027,34,1.00 ,450
1000030,34,1.00 ,720
1000038,34,1.00 ,270
1000027,34,1.00 ,370
1000030,34,1.00 ,430
1000031,34,1.00 ,440
1000027,34,1.00 ,390
1000029,34,1.00 ,370
1000031,34,1.00 ,440
1000029,34,1.00 ,600
1000030,34,1.00 ,800
1000027,34,1.00 ,250
1000030,34,1.00 ,500
1000031,34,1.00 ,500
1000029,34,1.00 ,350
1000027,34,1.00 ,270
1000038,34,1.00 ,500
1000030,34,1.00 ,500
1000031,34,1.00 ,500
1000031,34,1.00 ,200
1000027,34,1.00 ,270
1000038,34,1.00 ,170
1000003,30,1.00 ,250
1000001,30,1.00 ,320
1000010,30,1.00 ,250
1000010,30,1.00 ,500
1000001,30,1.00 ,400
1000001,30,1.00 ,300
1000001,30,1.00 ,130
1000003,30,1.00 ,650
1000011,30,1.00 ,400
1000001,30,1.00 ,200
1000027,34,1.00 ,150
1000038,34,1.00 ,170
1000030,34,1.00 ,350
1000029,34,1.00 ,400
1000031,34,1.00 ,50
1000029,34,1.00 ,300
1000030,34,1.00 ,150
1000030,34,1.00 ,500
1000027,34,1.00 ,370
1000001,30,1.00 ,470
1000001,30,1.00 ,130
1000010,30,1.00 ,400
1000003,30,1.00 ,200
1000011,30,1.00 ,500
1000007,30,1.00 ,150
1000001,30,1.00 ,100
1000003,30,1.00 ,200
1000001,30,1.00 ,70
1000030,34,1.00 ,180
1000031,34,1.00 ,500
1000031,34,1.00 ,300
1000027,34,1.00 ,340
1000030,34,1.00 ,180
1000031,34,1.00 ,450
1000038,34,1.00 ,240
1000029,34,1.00 ,150
1000027,34,1.00 ,620
1000030,34,1.00 ,180
1000011,30,1.00 ,600
1000001,30,1.00 ,250
1000010,30,1.00 ,150
1000003,30,1.00 ,400
1000011,30,1.00 ,400
1000001,30,1.00 ,290
1000003,30,1.00 ,600
1000001,30,1.00 ,120
1000003,30,1.00 ,350
1000003,30,1.00 ,500
1000001,30,1.00 ,220
1000011,30,1.00 ,400
1000010,30,1.00 ,400
1000001,30,1.00 ,370
1000010,30,1.00 ,170
1000003,30,1.00 ,750
1000030,34,1.00 ,180
1000031,34,1.00 ,200
1000031,34,1.00 ,200
1000029,34,1.00 ,200
1000030,34,1.00 ,70
1000011,30,1.00 ,100
1000007,30,1.00 ,150
1000011,30,1.00 ,850
1000011,30,1.00 ,400
1000001,30,1.00 ,100
1000007,30,1.00 ,450
1000001,30,1.00 ,340
1000010,30,1.00 ,100
1000011,30,1.00 ,400
1000001,30,1.00 ,60
1000011,30,1.00 ,750
1000010,30,1.00 ,450
1000011,30,1.00 ,300
1000003,30,1.00 ,200
1000003,30,1.00 ,350
1000003,30,1.00 ,100
1000001,30,1.00 ,30
1000011,30,1.00 ,400
1000030,34,1.00 ,680
1000030,34,1.00 ,250
1000011,30,1.00 ,400
1000003,30,1.00 ,200
1000011,30,1.00 ,150
